id,name,hazard,distance_km,velocity_kmh,diameter_max_m
3748280,(2016 FB4),False,74615501.35303956,96540.7116355978,236.6137501138
3781592,(2017 SO2),False,67479061.68904525,104718.8277336776,353.2156833994
3838930,(2019 EA2),False,44272088.552688725,49952.3842437462,41.1187571041
54196402,(2021 RN14),False,44295909.021528825,75429.4663517692,24.6626635778
54253553,(2022 ES4),False,54223242.29966364,72595.3484393388,30.2022973344
54300597,(2022 RK),False,46221076.3361881,38505.6268084868,39.4493615328
54356838,(2023 HW4),False,31119637.162575915,35279.9551498472,23.9905375262
54606564,(2026 FB3),False,2820483.743711178,47149.2573137842,29.6101071365
54606734,(2026 FB4),False,649770.090542576,37542.8246854147,15.5539242225
