id,name,hazard,distance_km,velocity_kmh,diameter_max_m
3306408,(2005 XY4),False,16402683.43899429,58780.2590668573,118.5877908577
3409707,(2008 HU4),False,19274105.60151557,16918.8650848316,13.0028927004
3710920,(2015 DS53),False,35831300.87142404,29925.6252995991,85.9092601232
3749034,(2016 GN2),False,15331440.887208536,21368.7234658475,59.4346868419
3752457,(2016 HP6),False,53555909.25462541,58002.6432475804,49.435619262
3771023,(2017 EC3),False,47593104.25494047,20871.7582345087,187.9489824394
54016204,(2020 FM),False,53105137.57182955,40325.0109959311,89.9580388169
54133137,(2021 FJ3),False,70556826.54234408,97163.8206721031,118.0429294515
54219796,(2021 VP12),False,72101174.09334013,62246.2163465668,71.1278987093
54416963,(2023 XV14),False,65387764.339053765,14604.6471220765,159.2355303825
54554175,(2025 UP4),False,21595856.046756554,30890.7249466152,52.2444280149
54605665,(2026 DK16),False,23539788.888309047,64417.7119173163,271.6689340891
54606301,(2026 EG2),False,16438174.097512238,58926.362525572,120.9038077524
54606544,(2026 FR2),False,6919555.155392965,41876.4784326044,43.5351433457
54606547,(2026 FU2),False,925271.233350294,47508.9909057713,18.2490381369
54606827,(2026 FL4),False,1861403.421660458,69437.675323606,23.814418357
54606889,(2026 FY4),False,8779838.343323503,22168.5779670805,39.6132047562
54606912,(2026 FX5),False,2937535.78926418,43753.6833536603,25.2371308101
54606978,(2026 FK6),False,14581339.050726479,24164.3339575413,53.5352677115
